SampleName,NOP2,NSUN2,NSUN3,NSUN4,NSUN5,NSUN6,NSUN7,DNMT1,DNMT3A,DNMT3B,TRDMT1,TET1,TET2,TET3,ALKBH1,ALYREF,YBX1,CODE,Group
GSM316713,9.144179649,9.429721604,8.471607815,7.954129394,9.132248799,7.325185968,6.395333304,9.64954144,8.482807496,9.202922862,7.461643689,6.33678307,8.244413615,9.33529649,7.52252338,9.09610037,13.10191921,LAML,Tumor
GSM316714,9.34663367,10.59105361,9.114147561,7.966901534,10.69821159,7.862256344,5.532228297,10.41113165,8.937807032,8.598929462,8.296598742,6.409811242,10.24677494,9.743715399,7.79731832,9.914594317,13.62702968,LAML,Tumor
GSM316715,9.521600262,10.59423935,9.389146402,8.691412035,9.303060123,7.781447221,5.687490447,9.681510829,8.271299945,8.847126383,8.355199864,6.459671668,10.43320849,10.42150743,8.267850344,9.070685094,13.55007141,LAML,Tumor
GSM316716,8.799733179,9.292695963,8.564879467,7.229190469,9.732144467,7.394984457,5.294207701,9.801799541,7.630450518,7.66586824,6.790733639,5.5333511,8.021231866,9.40480523,7.517634923,9.566635013,13.4808831,LAML,Tumor
GSM316717,9.51856942,10.0871035,9.140082819,7.919528214,9.06965921,7.011959762,5.493627564,9.019742651,8.228925318,8.195766407,7.543731813,5.735168963,9.035787124,10.08240751,8.097258373,9.467145276,13.69470453,LAML,Tumor
GSM316718,9.132348714,9.637512317,9.104247619,7.640074428,8.679838741,7.512637127,5.348235645,9.900994389,9.28401141,8.055763693,7.38950526,6.611951362,8.030516908,10.16707639,8.128281077,9.199360726,13.57332508,LAML,Tumor
GSM316719,9.303987618,10.12257169,8.909987191,7.807126937,9.812716088,7.509863264,5.341105412,9.015314022,8.63601593,8.468181951,7.04024842,6.580315918,9.29009334,10.00488416,8.084713036,9.120688961,13.32669304,LAML,Tumor
GSM316720,10.00831562,10.5267999,9.041174938,7.967352915,9.039233414,7.003127119,5.368671747,9.737220452,8.359447396,8.469570038,7.779634916,6.201503846,10.56224551,10.36618739,8.00704219,9.337658613,13.72115837,LAML,Tumor
GSM316721,8.835458067,9.225719536,10.62945171,7.409887612,9.616041915,6.97325239,5.83212392,9.363412969,7.476125372,7.273087311,7.505605242,6.041160638,9.159405176,10.06885014,8.201925982,8.52068549,13.51756286,LAML,Tumor
GSM316722,9.193017791,9.882876669,8.785646619,7.966895222,9.761702495,7.144836014,5.691119927,9.094706423,8.43134728,8.450970746,7.231284428,6.870492544,8.446524945,9.116209198,7.764264151,8.674922429,13.53013963,LAML,Tumor
GSM316723,8.428362239,9.594279208,9.930679435,7.220506273,8.854619073,7.271793181,4.994388321,9.396199201,7.621375793,7.293251874,6.808146872,6.210945266,9.226497429,10.09888101,8.052771147,8.783482777,13.76939753,LAML,Tumor
GSM316724,8.528710168,9.657464317,9.621981586,7.413583856,8.789657692,6.706677617,5.335230331,8.982061877,7.284242111,7.688978924,7.107865317,6.284481615,9.009266969,10.33032359,8.448300617,8.090273407,13.53439259,LAML,Tumor
GSM316725,9.863794967,10.21716181,8.516054804,8.248969631,10.73944713,8.379626604,5.450855599,10.5738828,9.108958249,9.249738575,8.081363344,6.800451551,8.657037129,8.932279079,8.230555825,9.600116709,13.62409514,LAML,Tumor
GSM316726,8.694731078,8.716727576,8.470426038,7.425301703,10.12622118,7.25400425,5.387827964,9.494667128,7.916460003,7.793673028,7.266291927,6.137595575,8.957902155,10.11188873,7.713446936,9.288997051,13.7580288,LAML,Tumor
GSM316727,9.366460452,10.1898886,8.933144057,7.810206695,9.305789144,7.288846481,5.06483748,8.901204328,8.30441362,7.272030829,7.120951895,6.338578847,9.310632057,10.12232716,8.102026114,9.285644227,13.61975055,LAML,Tumor
GSM316728,9.5278817,9.984173587,8.956830207,8.045863419,10.85949005,8.008491184,5.089937186,10.26901014,8.89448595,9.725365335,7.704076131,6.828768861,9.439713539,9.276817233,7.710516018,9.251059848,13.82656386,LAML,Tumor
GSM316729,9.688815664,10.85212045,9.584411258,7.838703502,9.484190438,7.188842017,5.362146666,10.01710854,8.201668131,8.670285684,6.948688549,5.679517586,10.65721248,9.975789007,9.347680778,9.559421091,13.98473306,LAML,Tumor
GSM316730,9.061997374,9.813419877,10.21256376,8.309572812,9.199596782,7.571245024,5.700453656,9.807878935,7.568929465,8.6358444,8.045692163,7.031342613,8.968753947,10.05692984,8.296937567,8.328656607,13.37651088,LAML,Tumor
